Jahr,Deutschland,Baden-Württemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg Vorpommern,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen-Anhalt,Sachsen,Schleswig-Holstein,Thüringen,Niedersachsen
2002,150.84,149.45,145.76,152.23,145.56,154.03,171.08,154.04,152.01,154.65,146.97,158.81,142.97,141.72,165.51,136.75,155.9
2003,147.75,142.22,142.64,152.86,142.85,158.62,172.84,150.37,139.6,154.18,148.05,156.72,143.14,138.53,156.88,140.35,151.88
2004,144.36,142.87,139.65,142.21,141.79,143.47,167.16,148.17,135.89,148.5,141.18,149.17,143.53,136.6,149.41,137.1,149.14
2005,141.83,138.66,134.47,140.5,139.46,142.46,166.8,146.22,134.72,148.56,141.17,149.64,140.52,135.55,147.44,131.87,146.14
2006,138.5,134.6,129.84,140.33,136.2,147.58,160.5,143.02,135.09,143.87,138.48,148.6,139.07,132.34,145.95,131.82,143.25
2007,137.12,135.45,130.52,134.83,133.83,142.61,154.84,141.59,136.7,141.19,136.65,146.2,140.56,129.59,141.06,133.44,139.79
2008,133.07,129.77,126.67,134.76,134.3,136.08,147.19,136.65,135.88,135.65,132.24,139.44,136.04,130.9,136.96,133.23,135.56
2009,130.25,128.68,124.48,134.46,129.37,129.94,146.12,133.59,126.27,133.63,130.44,138.14,131.26,125.6,132.27,123.8,133.8
2010,120.29,117.88,114.63,124.98,123.18,123.98,134.56,121.92,119.29,124.28,119.12,127.84,123.09,115.61,124.63,114.18,122.35
2011,131.91,129.67,125.3,140.03,135.34,130.84,149.35,133.7,129.63,135.54,132.43,141.44,134.09,128.5,135.78,126.02,133.97
2012,126.31,123.18,120.67,133.01,128.12,125.87,144.41,128.33,121.1,130.28,124.9,133.3,130.65,122.55,129.1,121.79,129.2
2013,120.58,117.01,115,128.47,125.71,125.52,137.16,123.13,121.71,121.87,117.64,124.19,125.44,119,125.67,117.01,123.67
2014,128.4,127.35,122.46,126.99,130.97,138.66,144.55,129.51,122.75,130.11,128.87,139.91,134.36,126.1,132.16,123.27,130.47
2015,124.33,123.57,120.84,125.51,122.45,126.98,141.68,128.05,125.13,123.72,122.35,128.96,128.91,122.48,127.02,122.79,126.19
2016,122.86,120.85,117.92,120.4,124.81,125.4,133.57,126.16,122.5,123.79,121.66,126.58,125.76,122.91,126.54,119.16,125.74
2017,121.85,118.41,115.94,122.48,124.41,127.31,132.67,122.36,122.89,124.33,121.75,129,123.39,119.8,125.3,121.96,125.82
2018,126.64,126.25,124.46,123.52,128.6,127.9,138.91,127.95,126.02,126.78,126.72,137.71,126.91,125.93,127.29,124.8,126.65
2019,124.51,121.6,119.96,124.52,127.88,125.78,138.14,124.72,130.94,125.72,123.13,135.62,128.01,123.83,126,124.69,126.71
2020,128.34,126.83,122.61,125.42,144.32,124.85,141.22,128.03,125.07,130.29,129.72,142.87,131.93,122.1,129.76,124.52,130.12