AGS,Name,mobility_mid_tripcount_percentage_value_MIV_(Fahrer)_2002,mobility_mid_tripcount_percentage_value_ÖPV_2002,mobility_mid_tripcount_percentage_value_Fuß_2002,mobility_mid_tripcount_percentage_value_MIV_(Mitfahrer)_2002,mobility_mid_tripcount_percentage_value_Fahrrad_2002,mobility_mid_tripcount_percentage_sum_2002,mobility_mid_tripcount_percentage_value_MIV_(Fahrer)_2008,mobility_mid_tripcount_percentage_value_ÖPV_2008,mobility_mid_tripcount_percentage_value_Fuß_2008,mobility_mid_tripcount_percentage_value_MIV_(Mitfahrer)_2008,mobility_mid_tripcount_percentage_value_Fahrrad_2008,mobility_mid_tripcount_percentage_sum_2008,mobility_mid_tripcount_percentage_value_MIV_(Fahrer)_2017,mobility_mid_tripcount_percentage_value_ÖPV_2017,mobility_mid_tripcount_percentage_value_Fuß_2017,mobility_mid_tripcount_percentage_value_MIV_(Mitfahrer)_2017,mobility_mid_tripcount_percentage_value_Fahrrad_2017,mobility_mid_tripcount_percentage_sum_2017,mobility_mid_tripcount_value_MIV_(Fahrer)_2002,mobility_mid_tripcount_value_MIV_(Fahrer)_2008,mobility_mid_tripcount_value_MIV_(Fahrer)_2017,mobility_mid_tripcount_value_ÖPV_2002,mobility_mid_tripcount_value_ÖPV_2008,mobility_mid_tripcount_value_ÖPV_2017,mobility_mid_tripcount_value_Fuß_2002,mobility_mid_tripcount_value_Fuß_2008,mobility_mid_tripcount_value_Fuß_2017,mobility_mid_tripcount_value_MIV_(Mitfahrer)_2002,mobility_mid_tripcount_value_MIV_(Mitfahrer)_2008,mobility_mid_tripcount_value_MIV_(Mitfahrer)_2017,mobility_mid_tripcount_value_Fahrrad_2002,mobility_mid_tripcount_value_Fahrrad_2008,mobility_mid_tripcount_value_Fahrrad_2017,mobility_mid_tripcount_sum_2002,mobility_mid_tripcount_sum_2008,mobility_mid_tripcount_sum_2017,mobility_mid_wegkm_percentage_Fahrrad_2002,mobility_mid_wegkm_percentage_Fuß_2002,mobility_mid_wegkm_percentage_MIV_(Fahrer)_2002,mobility_mid_wegkm_percentage_MIV_(Mitfahrer)_2002,mobility_mid_wegkm_percentage_ÖPV_2002,mobility_mid_wegkm_percentage_sum_2002,mobility_mid_wegkm_average_km_Fahrrad_2002,mobility_mid_wegkm_average_km_Fuß_2002,mobility_mid_wegkm_average_km_MIV_(Fahrer)_2002,mobility_mid_wegkm_average_km_MIV_(Mitfahrer)_2002,mobility_mid_wegkm_average_km_ÖPV_2002,mobility_mid_wegkm_percentage_Fahrrad_2008,mobility_mid_wegkm_percentage_Fuß_2008,mobility_mid_wegkm_percentage_MIV_(Fahrer)_2008,mobility_mid_wegkm_percentage_MIV_(Mitfahrer)_2008,mobility_mid_wegkm_percentage_ÖPV_2008,mobility_mid_wegkm_percentage_sum_2008,mobility_mid_wegkm_average_km_Fahrrad_2008,mobility_mid_wegkm_average_km_Fuß_2008,mobility_mid_wegkm_average_km_MIV_(Fahrer)_2008,mobility_mid_wegkm_average_km_MIV_(Mitfahrer)_2008,mobility_mid_wegkm_average_km_ÖPV_2008,mobility_mid_wegkm_percentage_Fahrrad_2017,mobility_mid_wegkm_percentage_Fuß_2017,mobility_mid_wegkm_percentage_MIV_(Fahrer)_2017,mobility_mid_wegkm_percentage_MIV_(Mitfahrer)_2017,mobility_mid_wegkm_percentage_ÖPV_2017,mobility_mid_wegkm_percentage_sum_2017,mobility_mid_wegkm_average_km_Fahrrad_2017,mobility_mid_wegkm_average_km_Fuß_2017,mobility_mid_wegkm_average_km_MIV_(Fahrer)_2017,mobility_mid_wegkm_average_km_MIV_(Mitfahrer)_2017,mobility_mid_wegkm_average_km_ÖPV_2017,mobility_mid_wegkm_Fahrrad_2002,mobility_mid_wegkm_Fahrrad_2008,mobility_mid_wegkm_Fahrrad_2017,mobility_mid_wegkm_Fuß_2002,mobility_mid_wegkm_Fuß_2008,mobility_mid_wegkm_Fuß_2017,mobility_mid_wegkm_MIV_(Fahrer)_2002,mobility_mid_wegkm_MIV_(Fahrer)_2008,mobility_mid_wegkm_MIV_(Fahrer)_2017,mobility_mid_wegkm_MIV_(Mitfahrer)_2002,mobility_mid_wegkm_MIV_(Mitfahrer)_2008,mobility_mid_wegkm_MIV_(Mitfahrer)_2017,mobility_mid_wegkm_ÖPV_2002,mobility_mid_wegkm_ÖPV_2008,mobility_mid_wegkm_ÖPV_2017,mobility_mid_wegkm_sum_2002,mobility_mid_wegkm_personenzahl_2002,mobility_mid_wegkm_sum_2008,mobility_mid_wegkm_personenzahl_2008,mobility_mid_wegkm_sum_2017,mobility_mid_wegkm_personenzahl_2017
0,Deutschland,42.86593862406429,8.17524871188308,21.644252892187044,17.766615898117244,9.54794387374834,100.0,43.313900259304546,7.838203415259393,23.164933047448596,15.466127974766538,10.216835303220929,100.0,45.65202149290263,9.030078590595899,20.41481557024393,13.28850333675401,11.614581009503535,100.0,66140.0,73330.0,358115.0,12614.0,13270.0,70836.0,33396.0,39218.0,160143.0,27413.0,26184.0,104241.0,14732.0,17297.0,91110.0,154295.0,169299.0,784445.0,2.8372585719012506,2.8010844819327088,56.163114280493645,25.916698355004865,12.281844310667529,100.0,,,,,,2.9237987159684353,3.0327102312727883,54.5493805756076,24.78123128329603,14.71287919385514,100.0,,,,,,3.6120645783134426,2.589915462694207,57.11223837114022,20.253517710087657,16.43226387776447,100.0,,,,,,45962.0,55651.0,368080.0,45376.0,57724.0,263920.0,909811.0,1038282.0,5819905.0,419836.0,471681.0,2063893.0,198959.0,280042.0,1674496.0,1619944.0,,1903380.0,,10190294.0,
1,Schleswig-Holstein,44.43496801705757,6.041222459132907,20.35536602700782,19.374555792466243,9.793887704335466,100.0,43.05236270753512,5.542784163473819,22.298850574712645,15.04469987228608,14.061302681992338,100.0,46.537869721319886,7.762010600102581,19.476833646777227,13.287741494272526,12.935544537527782,100.0,3126.0,3371.0,13610.0,425.0,434.0,2270.0,1432.0,1746.0,5696.0,1363.0,1178.0,3886.0,689.0,1101.0,3783.0,7035.0,7830.0,29245.0,2.453162328681001,2.5399220419967308,54.73657739217905,29.051930089274485,11.218408147868729,100.0,1.0563075257173795,1.0936654033567947,23.56903086085544,12.509474824038982,4.830536004331348,3.555676262900598,2.901683867463335,53.2362846279196,24.55839217816404,15.747963063552417,100.0,1.5942523136872868,1.3010228933268388,23.869459327812958,11.011203117389186,7.0608865075499265,3.421621537552296,2.639314431466476,56.87071973290615,19.366637116298843,17.701707181776236,100.0,1.647940074906367,1.2711610486891385,27.390387016229713,9.327465667915106,8.525593008739076,1951.0,3273.0,13200.0,2020.0,2671.0,10182.0,43532.0,49004.0,219397.0,23105.0,22606.0,74713.0,8922.0,14496.0,68290.0,79530.0,1847.0,92050.0,2053.0,385782.0,8010.0
2,Hamburg,34.366925064599485,15.417743324720067,25.344530577088715,14.900947459086995,9.969853574504738,100.0,33.18527918781726,13.176818950930627,27.284263959390863,12.838409475465312,13.51522842639594,100.0,30.61081771926017,18.187079505172537,24.95599122235887,10.402951602401794,15.843159950806626,100.0,1596.0,1569.0,12694.0,716.0,623.0,7542.0,1177.0,1290.0,10349.0,692.0,607.0,4314.0,463.0,639.0,6570.0,4644.0,4728.0,41469.0,3.086155165023575,3.246892413201886,46.12301757393914,21.27089584226318,26.273039005572222,100.0,1.1793611793611793,1.240786240786241,17.625716625716624,8.128583128583129,10.04013104013104,4.9167927382753405,4.795763993948563,45.254664649520926,22.950075642965203,22.082702975289966,100.0,1.4683734939759037,1.4322289156626506,13.515060240963855,6.853915662650603,6.594879518072289,5.042272676525216,3.035919088168725,42.47302769799141,19.286489997665615,30.162290539649028,100.0,2.2076075364379664,1.329185922502666,18.595538570920723,8.444009953785994,13.205652328474939,1440.0,1950.0,24840.0,1515.0,1902.0,14956.0,21521.0,17948.0,209237.0,9925.0,9102.0,95012.0,12259.0,8758.0,148590.0,46660.0,1221.0,39660.0,1328.0,492635.0,11252.0
3,Niedersachsen,43.498400794088454,5.900518363295467,18.390867982794752,18.23094739164001,13.979265468181318,100.0,44.16830832954488,6.329241804313784,18.81093094913371,15.517502651916956,15.17401626509067,100.0,48.35589358202424,7.077429187981951,17.077881902002506,13.410898335521452,14.077896992469856,100.0,7888.0,8744.0,32044.0,1070.0,1253.0,4690.0,3335.0,3724.0,11317.0,3306.0,3072.0,8887.0,2535.0,3004.0,9329.0,18134.0,19797.0,66267.0,4.266216013684967,2.302878080797118,56.16004382496887,26.056217925859315,11.214644154689738,100.0,1.7680445491539944,0.9543799528807025,23.274362818590706,10.798457913900192,4.6476761619190405,3.753496687348828,2.4187611736249868,55.79514144494689,25.114312756336105,12.918287937743193,100.0,1.7427734375,1.123046875,25.9060546875,11.6607421875,5.998046875,4.028194087048341,2.20480648716702,58.20310076295059,19.87202555878826,15.691873104045792,100.0,2.032617976888484,1.1125405590026756,29.369158080491832,10.027380884613196,7.918085045824557,8255.0,8923.0,35707.0,4456.0,5750.0,19544.0,108668.0,132639.0,515928.0,50418.0,59703.0,176151.0,21700.0,30710.0,139097.0,193497.0,4669.0,237725.0,5120.0,886427.0,17567.0
4,Bremen,33.46738159070598,11.907953529937444,24.173369079535302,13.270777479892763,17.18051831992851,100.0,33.81105034885913,10.314916085234772,24.0052800301716,12.615500660003773,19.25325287573072,100.0,33.80305894483588,10.568826258807356,23.40608351950507,10.319642550266368,21.902388726585322,100.0,1498.0,1793.0,3934.0,533.0,547.0,1230.0,1082.0,1273.0,2724.0,594.0,669.0,1201.0,769.0,1021.0,2549.0,4476.0,5303.0,11638.0,6.131418743687041,3.6662935764789384,51.72121973192105,23.308126996259997,15.172940951652972,100.0,1.9131175468483816,1.1439522998296423,16.137989778534923,7.272572402044293,4.7342419080068145,5.689661274908859,3.0580823275404385,43.14409089300251,22.50911407638127,25.59905142816692,100.0,2.328023171614772,1.2512671976828385,17.653149891383055,9.209992758870383,10.474293989862419,6.9903073982579,3.1910794823561406,49.883280828592795,19.228066994537997,20.707265296255166,100.0,3.013025073266037,1.37544773689352,21.50113969391078,8.28785411917942,8.925431455551937,2246.0,3215.0,9253.0,1343.0,1728.0,4224.0,18946.0,24379.0,66030.0,8538.0,12719.0,25452.0,5558.0,14465.0,27410.0,36631.0,1174.0,56506.0,1381.0,132369.0,3071.0
5,Nordrhein-Westfalen,44.522058823529406,6.824866310160428,19.455213903743314,19.134358288770052,10.06350267379679,100.0,44.91408142082805,7.862414946372967,21.427747664629223,16.165955483796562,9.629800484373199,100.0,46.89746413385947,8.2599186320394,20.38328591967208,13.54348291578722,10.915848398641828,100.0,13321.0,15578.0,61325.0,2042.0,2727.0,10801.0,5821.0,7432.0,26654.0,5725.0,5607.0,17710.0,3011.0,3340.0,14274.0,29920.0,34684.0,130764.0,3.1538391994046995,2.977891830617624,56.780232695611055,26.687321357785148,10.400714916581475,100.0,1.18191295282773,1.1159760229345843,21.27860307531926,10.001172791243158,3.897706541568934,2.93070024964088,3.22134359789688,55.55778698241357,23.61491150997866,14.67525766007001,100.0,1.1720022308979363,1.2882320133853875,22.217847183491354,9.44372559955382,5.868711656441718,3.789819293265483,2.747771991626181,58.23896586090556,20.35991342973186,14.86352942447092,100.0,1.8011805971426127,1.3059286508683376,27.679128525394244,9.676419425670858,7.064162888185473,9070.0,10507.0,63162.0,8564.0,11549.0,45795.0,163292.0,199183.0,970624.0,76749.0,84663.0,339323.0,29911.0,52613.0,247719.0,287586.0,7674.0,358515.0,8965.0,1666623.0,35067.0
6,Hessen,44.95986313988683,8.33004342676668,22.404263718910382,17.949730227661533,6.356099486774576,100.0,45.541908336176505,8.063232116456271,24.769703172978506,15.461162288183782,6.163994086204936,100.0,47.840590232129195,8.199085611129643,22.258305044836447,13.078115495555597,8.623903616349116,100.0,6833.0,8009.0,48762.0,1266.0,1418.0,8357.0,3405.0,4356.0,22687.0,2728.0,2719.0,13330.0,966.0,1084.0,8790.0,15198.0,17586.0,101926.0,2.1753152310007717,2.820321491355651,58.541906436150704,21.894168384575497,14.568288456917374,100.0,0.8660624370594159,1.1228600201409868,23.307401812688823,8.71676737160121,5.800100704934541,2.351638941971325,3.166671887889895,55.16692250660484,23.497593016091813,15.817173647442123,100.0,0.9677696605070907,1.3031800601633003,22.702836269875377,9.669961323592608,6.509239363987968,2.830053250457533,2.8141194508851903,58.37121995031962,20.1100334083675,15.874573939970164,100.0,1.3810379607555474,1.373262424353567,28.484577296900788,9.813497157527966,7.746634879882634,3440.0,4504.0,37654.0,4460.0,6065.0,37442.0,92577.0,105659.0,776632.0,34623.0,45004.0,267565.0,23038.0,30294.0,211212.0,158138.0,3972.0,191526.0,4654.0,1330505.0,27265.0
7,Rheinland-Pfalz,47.58684291423301,7.162619120811558,21.795265908392253,18.495747515114253,4.959524541448919,100.0,47.55109911299653,6.131893559583494,23.023524874662556,16.293868106440417,6.999614346317006,100.0,51.38671942795654,6.449373459682738,19.86184872782811,14.637786802735256,7.664271581797355,100.0,4644.0,4932.0,14804.0,699.0,636.0,1858.0,2127.0,2388.0,5722.0,1805.0,1690.0,4217.0,484.0,726.0,2208.0,9759.0,10372.0,28809.0,1.6814218709535094,2.6674467901435874,59.816607038376326,25.358489118236665,10.476035182289918,100.0,0.6928853754940711,1.099209486166008,24.649407114624506,10.449802371541502,4.31699604743083,2.0319584674768656,2.9876784600603434,58.44977834712694,24.92119945387429,11.60938527146156,100.0,0.8678905687544997,1.2760979121670266,24.96508279337653,10.64434845212383,4.958603311735061,2.4564646115244226,2.690856148647602,61.41729437821708,19.842482691682196,13.592902169928703,100.0,1.2013634642090645,1.3159954551193032,30.03686403231915,9.704204014644615,6.647771745991668,1753.0,2411.0,9516.0,2781.0,3545.0,10424.0,62363.0,69353.0,237922.0,26438.0,29570.0,76867.0,10922.0,13775.0,52657.0,104257.0,2530.0,118654.0,2778.0,387386.0,7921.0
8,Baden-Württemberg,42.96899305195478,7.979881779529192,23.452245151923677,17.893808980607695,7.705071035984652,100.0,44.34207525655644,8.647662485746864,22.50855188141391,16.136830102622575,8.364880273660205,100.0,45.83674072614414,8.749199467954085,21.22272033105079,13.22823784422878,10.963101630622198,100.0,8287.0,9722.0,46522.0,1539.0,1896.0,8880.0,4523.0,4935.0,21540.0,3451.0,3538.0,13426.0,1486.0,1834.0,11127.0,19286.0,21925.0,101495.0,2.861358824661577,3.009452321378927,55.94405594405595,23.573063022604305,14.612069887299246,100.0,1.0788147550896996,1.134650272122556,21.092521669018343,8.887724249143318,5.509171537996371,2.4964145944237828,2.89222716481522,52.41498334913343,25.545508317330672,16.650866574296895,100.0,1.0583991755410511,1.226210924081072,22.222260391618,10.830470628649948,7.0594297492270695,3.670510946436779,2.7172801989618445,54.93154538202242,20.983911204976504,17.69675226760245,100.0,1.7640822960144793,1.3059505780667084,26.400620544453883,10.085066302219923,8.505226609537177,5352.0,6162.0,47759.0,5629.0,7139.0,35356.0,104640.0,129378.0,714744.0,44092.0,63055.0,273033.0,27331.0,41100.0,230262.0,187044.0,4961.0,246834.0,5822.0,1301154.0,27073.0
9,Bayern,45.65240699045781,8.201994210357027,19.523962688967515,18.30706550873807,8.314570601479575,100.0,43.362656914104974,7.729564100029653,21.300780863892456,16.877532865473952,10.729465256498962,100.0,45.63229275997524,9.261228243515362,19.296134345758446,13.677311717305015,12.133032933445927,100.0,8516.0,8774.0,133474.0,1530.0,1564.0,27089.0,3642.0,4310.0,56441.0,3415.0,3415.0,40006.0,1551.0,2171.0,35489.0,18654.0,20234.0,292499.0,2.715531461266132,2.790867148224195,56.56035964173696,25.54076743922675,12.392474309545968,100.0,1.103662197318391,1.1342805683410047,22.98759255553332,10.380428256954172,5.036621973183911,3.054236570475569,2.601437033644561,54.74899437889125,25.96425130374294,13.631080713245684,100.0,1.3110163204747773,1.116654302670623,23.50074183976261,11.145029673590505,5.8510756676557865,3.758844579569054,2.4089812357075533,56.88347865354978,20.51790182286949,16.430793708304126,100.0,1.8089101154827787,1.1593005331918227,27.374662017031813,9.874055542920678,7.907171556364188,5515.0,7069.0,143168.0,5668.0,6021.0,91754.0,114869.0,126716.0,2166595.0,51871.0,60094.0,781492.0,25168.0,31549.0,625821.0,203091.0,4997.0,231449.0,5392.0,3808830.0,79146.0
10,Saarland,49.21709691070673,7.744392721117224,21.01142615319509,19.699534490055015,2.3275497249259414,100.0,54.88993143269578,6.29736557199567,19.469505593648503,17.358354384698664,1.9848430169613858,100.0,60.86791737729771,4.623839302634073,16.581390941823003,15.36858063293538,2.558271745309835,100.0,2326.0,3042.0,3212.0,366.0,349.0,244.0,993.0,1079.0,875.0,931.0,962.0,811.0,110.0,110.0,135.0,4726.0,5542.0,5277.0,1.2486044339128255,3.189865342113058,59.09453393788876,26.361958577320056,10.105037708765293,100.0,0.42980392156862746,1.0980392156862746,20.341960784313727,9.074509803921568,3.4784313725490197,0.7060251741102805,3.0732860520094563,56.77592486103124,27.13724362660533,12.30752028624369,100.0,0.29329794293297945,1.276708692767087,23.585932315859324,11.273390842733908,5.112806901128069,1.243592600846891,2.5986182304435035,69.13750835747715,18.04620756258822,8.974073248644231,100.0,0.604332129963899,1.2628158844765343,33.59783393501805,8.769675090252708,4.3610108303249095,548.0,442.0,837.0,1400.0,1924.0,1749.0,25936.0,35544.0,46533.0,11570.0,16989.0,12146.0,4435.0,7705.0,6040.0,43889.0,1275.0,62604.0,1507.0,67305.0,1385.0
11,Berlin,29.99604273842501,20.221606648199447,28.24165677351273,14.391241261047355,7.14945257881546,100.0,32.903558535327484,17.637957710159878,28.803506962351726,11.823104693140793,8.831872099020114,100.0,26.213024669706535,21.72337191628668,26.92622471647375,10.335554776101953,14.801823921431076,100.0,2274.0,2552.0,2242.0,1533.0,1368.0,1858.0,2141.0,2234.0,2303.0,1091.0,917.0,884.0,542.0,685.0,1266.0,7581.0,7756.0,8553.0,2.5012457781961133,3.924201317756492,42.46581030950667,24.66363988704944,26.44510270749128,100.0,0.8683325324363287,1.3623258049014897,14.742431523306102,8.562229697260932,9.180682364247957,3.5009582422328394,4.075903581936459,42.583744972602375,21.79798634167409,28.04140686155424,100.0,1.2253188474256023,1.4265470004723666,14.904109589041095,7.629192253188474,9.814359943316013,4.685533749230234,2.8006104581113282,39.056824368345424,20.149580086927806,33.3074513373852,100.0,2.181138346489406,1.3036975488159535,18.181138346489405,9.379725799750727,15.50477773161612,1807.0,2594.0,5250.0,2835.0,3020.0,3138.0,30679.0,31552.0,43762.0,17818.0,16151.0,22577.0,19105.0,20777.0,37320.0,72244.0,2081.0,74094.0,2117.0,112047.0,2407.0
12,Brandenburg,40.45206547155105,7.373343725643024,18.612626656274355,16.4614185502728,17.10054559625877,100.0,38.192811555256974,7.10446758481693,25.613033254954654,13.973799126637553,15.115888478333893,100.0,46.29453832035947,9.569014619327891,19.422821340421493,12.859945573064996,11.85368014682615,100.0,2595.0,2274.0,7315.0,473.0,423.0,1512.0,1194.0,1525.0,3069.0,1056.0,832.0,2032.0,1097.0,900.0,1873.0,6415.0,5954.0,15801.0,3.9177996015797016,1.9839466908980765,54.88414357110404,26.720954344761704,12.493155791656472,100.0,1.9294320137693632,0.9770510613884108,27.029259896729776,13.159495123350545,6.152610441767068,3.3047056511738124,2.470148994948736,53.034804017893265,23.284361887808767,17.90597944817542,100.0,1.690715552927262,1.2637492607924306,27.13305736250739,11.912477823772916,9.160851567120048,3.005320775487738,2.1849835891790512,58.39642835300594,20.267465802295476,16.145801480031803,100.0,1.6805745554035567,1.2218422252621979,32.65526675786594,11.333561331509348,9.028727770177838,3363.0,2859.0,7371.0,1703.0,2137.0,5359.0,47112.0,45882.0,143226.0,22937.0,20144.0,49709.0,10724.0,15491.0,39600.0,85839.0,1743.0,86513.0,1691.0,245265.0,4386.0
13,Mecklenburg-Vorpommern,38.25400307084887,7.633252906339109,25.48804562404036,17.08708050010967,11.537617898661988,100.0,41.72613737734166,6.132917038358608,26.49420160570919,13.737734165923282,11.90900981266726,100.0,45.80225988700565,6.107344632768362,23.870056497175142,12.423728813559322,11.796610169491526,100.0,1744.0,1871.0,8107.0,348.0,275.0,1081.0,1162.0,1188.0,4225.0,779.0,616.0,2199.0,526.0,534.0,2088.0,4559.0,4484.0,17700.0,2.0755201643976364,2.3084168165082626,57.083654422467674,31.348574364243515,7.1838342323829085,100.0,0.9934426229508196,1.1049180327868853,27.32295081967213,15.004918032786886,3.4385245901639343,3.2236259756980767,2.953246962259596,60.698479118049406,24.15707733161664,8.967570612376278,100.0,1.590945194598888,1.4575059571088165,29.956314535345513,11.92216044479746,4.4257347100873705,3.02719720459961,2.7737775529002713,64.03430246889556,20.179729022604516,9.984993751000056,100.0,1.451077943615257,1.3296019900497513,30.694651741293534,9.673092868988391,4.786276948590381,1212.0,2003.0,7000.0,1348.0,1835.0,6414.0,33334.0,37715.0,148071.0,18306.0,15010.0,46663.0,4195.0,5572.0,23089.0,58395.0,1220.0,62135.0,1259.0,231237.0,4824.0
14,Sachsen,42.67906976744186,7.7116279069767435,23.804651162790698,17.748837209302327,8.055813953488371,100.0,45.43222865158689,6.83850604944766,24.162721374715062,15.96528143082588,7.601262493424514,100.0,48.10473115260424,7.040572792362769,22.574757826758386,14.565492067948899,7.714446160325705,100.0,4588.0,5182.0,6853.0,829.0,780.0,1003.0,2559.0,2756.0,3216.0,1908.0,1821.0,2075.0,866.0,867.0,1099.0,10750.0,11406.0,14246.0,2.591916273745605,2.882632434838698,56.133656755062546,29.518592206989908,8.87320232936324,100.0,1.0014040014040013,1.1137241137241136,21.687609687609687,11.404703404703405,3.428220428220428,2.397666292275053,3.123050043679022,54.8226319730438,29.286783976038937,10.369867714963185,100.0,0.9774244833068363,1.2731319554848968,22.34880763116057,11.938950715421303,4.227344992050875,2.5189977180583556,2.7787624343664845,60.920641602233204,22.328134346544964,11.453463898796997,100.0,1.1825273010920436,1.3044721788871554,28.598803952158086,10.481799271970878,5.376755070202808,2853.0,3074.0,4548.0,3173.0,4004.0,5017.0,61788.0,70287.0,109991.0,32492.0,37548.0,40313.0,9767.0,13295.0,20679.0,110073.0,2849.0,128208.0,3145.0,180548.0,3846.0
15,Sachsen-Anhalt,41.166883963494136,6.241851368970013,25.423728813559322,16.655801825293352,10.51173402868318,100.0,38.09027260539252,6.0330701623715175,27.75212274690898,14.970951884403396,13.15358260092358,100.0,48.62819299905393,6.95364238410596,19.520655944497005,13.450015767896561,11.447492904446547,100.0,2526.0,2557.0,3084.0,383.0,405.0,441.0,1560.0,1863.0,1238.0,1022.0,1005.0,853.0,645.0,883.0,726.0,6136.0,6713.0,6342.0,2.0844938286082852,2.7236213316133573,61.52041983054326,25.68530299920842,7.986162010026679,100.0,0.8330404217926186,1.0884592852958406,24.585823081429407,10.264792032806092,3.1915641476274166,2.7706928026722943,3.226432927223999,53.26721648950632,23.81371622408949,16.921941556507893,100.0,1.1935303959843837,1.3898494143892917,22.94590072504183,10.258226436140546,7.289459007250418,2.9864300087714772,2.125793302719158,62.744956400598525,22.063876992931224,10.07894329497962,100.0,1.5944903581267218,1.1349862258953167,33.50027548209366,11.780165289256198,5.381267217630854,1422.0,2140.0,2894.0,1858.0,2492.0,2060.0,41968.0,41142.0,60803.0,17522.0,18393.0,21381.0,5448.0,13070.0,9767.0,68218.0,1707.0,77237.0,1793.0,96905.0,1815.0
16,Thüringen,42.247939124920734,6.3570069752695,27.996195307545975,15.821179454660747,7.5776791376030435,100.0,44.60202604920405,6.772793053545587,29.725036179450072,15.542691751085384,3.357452966714906,100.0,47.846717952404916,6.1830469480192685,26.076641023797542,13.200086275073694,6.69350780070458,100.0,2665.0,3082.0,6655.0,401.0,468.0,860.0,1766.0,2054.0,3627.0,998.0,1074.0,1836.0,478.0,232.0,931.0,6308.0,6910.0,13909.0,1.5119060865694893,3.1323022143095582,60.12295537999333,24.37409591632358,10.85874040280405,100.0,0.6268742791234141,1.298731257208766,24.928489042675896,10.106113033448674,4.502306805074971,0.7941829279570887,3.561685008785721,59.27933968371405,27.727041524091373,8.637750855451772,100.0,0.3550387596899225,1.592248062015504,26.50077519379845,12.395348837209303,3.861498708010336,2.21113981854233,3.5222015261671578,63.18211860842396,20.746860541969596,10.337679504896952,100.0,0.975609756097561,1.5540827147401908,27.877518557794275,9.154029692470838,4.561240721102863,1087.0,687.0,3680.0,2252.0,3081.0,5862.0,43226.0,51279.0,105154.0,17524.0,23985.0,34529.0,7807.0,7472.0,17205.0,71896.0,1734.0,86504.0,1935.0,166430.0,3772.0
