AGS,Name,mobility_mid_percentage_wegkm_Fahrrad_2002,mobility_mid_percentage_wegkm_Fuß_2002,mobility_mid_percentage_wegkm_MIV_(Fahrer)_2002,mobility_mid_percentage_wegkm_MIV_(Mitfahrer)_2002,mobility_mid_percentage_wegkm_ÖPV_2002,mobility_mid_percentage_sum_2002,mobility_mid_percentage_wegkm_Fahrrad_2008,mobility_mid_percentage_wegkm_Fuß_2008,mobility_mid_percentage_wegkm_MIV_(Fahrer)_2008,mobility_mid_percentage_wegkm_MIV_(Mitfahrer)_2008,mobility_mid_percentage_wegkm_ÖPV_2008,mobility_mid_percentage_sum_2008,mobility_mid_percentage_wegkm_Fahrrad_2017,mobility_mid_percentage_wegkm_Fuß_2017,mobility_mid_percentage_wegkm_MIV_(Fahrer)_2017,mobility_mid_percentage_wegkm_MIV_(Mitfahrer)_2017,mobility_mid_percentage_wegkm_ÖPV_2017,mobility_mid_percentage_sum_2017,mobility_mid_wegkm_Fahrrad_2002,mobility_mid_wegkm_Fahrrad_2008,mobility_mid_wegkm_Fahrrad_2017,mobility_mid_wegkm_Fuß_2002,mobility_mid_wegkm_Fuß_2008,mobility_mid_wegkm_Fuß_2017,mobility_mid_wegkm_MIV_(Fahrer)_2002,mobility_mid_wegkm_MIV_(Fahrer)_2008,mobility_mid_wegkm_MIV_(Fahrer)_2017,mobility_mid_wegkm_MIV_(Mitfahrer)_2002,mobility_mid_wegkm_MIV_(Mitfahrer)_2008,mobility_mid_wegkm_MIV_(Mitfahrer)_2017,mobility_mid_wegkm_ÖPV_2002,mobility_mid_wegkm_ÖPV_2008,mobility_mid_wegkm_ÖPV_2017,mobility_mid_sum_2002,mobility_mid_sum_2008,mobility_mid_sum_2017
0,Deutschland,2.8372585719012506,2.8010844819327088,56.163114280493645,25.916698355004865,12.281844310667529,100.0,2.9237987159684353,3.0327102312727883,54.5493805756076,24.78123128329603,14.71287919385514,100.0,3.6120645783134426,2.589915462694207,57.11223837114022,20.253517710087657,16.43226387776447,100.0,45962.0,55651.0,368080.0,45376.0,57724.0,263920.0,909811.0,1038282.0,5819905.0,419836.0,471681.0,2063893.0,198959.0,280042.0,1674496.0,1619944.0,1903380.0,10190294.0
1,Schleswig-Holstein,2.453162328681001,2.5399220419967308,54.73657739217905,29.051930089274485,11.218408147868729,100.0,3.555676262900598,2.901683867463335,53.2362846279196,24.55839217816404,15.747963063552417,100.0,3.421621537552296,2.639314431466476,56.87071973290615,19.366637116298843,17.701707181776236,100.0,1951.0,3273.0,13200.0,2020.0,2671.0,10182.0,43532.0,49004.0,219397.0,23105.0,22606.0,74713.0,8922.0,14496.0,68290.0,79530.0,92050.0,385782.0
2,Hamburg,3.086155165023575,3.246892413201886,46.12301757393914,21.27089584226318,26.273039005572222,100.0,4.9167927382753405,4.795763993948563,45.254664649520926,22.950075642965203,22.082702975289966,100.0,5.042272676525216,3.035919088168725,42.47302769799141,19.286489997665615,30.162290539649028,100.0,1440.0,1950.0,24840.0,1515.0,1902.0,14956.0,21521.0,17948.0,209237.0,9925.0,9102.0,95012.0,12259.0,8758.0,148590.0,46660.0,39660.0,492635.0
3,Niedersachsen,4.266216013684967,2.302878080797118,56.16004382496887,26.056217925859315,11.214644154689738,100.0,3.753496687348828,2.4187611736249868,55.79514144494689,25.114312756336105,12.918287937743193,100.0,4.028194087048341,2.20480648716702,58.20310076295059,19.87202555878826,15.691873104045792,100.0,8255.0,8923.0,35707.0,4456.0,5750.0,19544.0,108668.0,132639.0,515928.0,50418.0,59703.0,176151.0,21700.0,30710.0,139097.0,193497.0,237725.0,886427.0
4,Bremen,6.131418743687041,3.6662935764789384,51.72121973192105,23.308126996259997,15.172940951652972,100.0,5.689661274908859,3.0580823275404385,43.14409089300251,22.50911407638127,25.59905142816692,100.0,6.9903073982579,3.1910794823561406,49.883280828592795,19.228066994537997,20.707265296255166,100.0,2246.0,3215.0,9253.0,1343.0,1728.0,4224.0,18946.0,24379.0,66030.0,8538.0,12719.0,25452.0,5558.0,14465.0,27410.0,36631.0,56506.0,132369.0
5,Nordrhein-Westfalen,3.1538391994046995,2.977891830617624,56.780232695611055,26.687321357785148,10.400714916581475,100.0,2.93070024964088,3.22134359789688,55.55778698241357,23.61491150997866,14.67525766007001,100.0,3.789819293265483,2.747771991626181,58.23896586090556,20.35991342973186,14.86352942447092,100.0,9070.0,10507.0,63162.0,8564.0,11549.0,45795.0,163292.0,199183.0,970624.0,76749.0,84663.0,339323.0,29911.0,52613.0,247719.0,287586.0,358515.0,1666623.0
6,Hessen,2.1753152310007717,2.820321491355651,58.541906436150704,21.894168384575497,14.568288456917374,100.0,2.351638941971325,3.166671887889895,55.16692250660484,23.497593016091813,15.817173647442123,100.0,2.830053250457533,2.8141194508851903,58.37121995031962,20.1100334083675,15.874573939970164,100.0,3440.0,4504.0,37654.0,4460.0,6065.0,37442.0,92577.0,105659.0,776632.0,34623.0,45004.0,267565.0,23038.0,30294.0,211212.0,158138.0,191526.0,1330505.0
7,Rheinland-Pfalz,1.6814218709535094,2.6674467901435874,59.816607038376326,25.358489118236665,10.476035182289918,100.0,2.0319584674768656,2.9876784600603434,58.44977834712694,24.92119945387429,11.60938527146156,100.0,2.4564646115244226,2.690856148647602,61.41729437821708,19.842482691682196,13.592902169928703,100.0,1753.0,2411.0,9516.0,2781.0,3545.0,10424.0,62363.0,69353.0,237922.0,26438.0,29570.0,76867.0,10922.0,13775.0,52657.0,104257.0,118654.0,387386.0
8,Baden-Württemberg,2.861358824661577,3.009452321378927,55.94405594405595,23.573063022604305,14.612069887299246,100.0,2.4964145944237828,2.89222716481522,52.41498334913343,25.545508317330672,16.650866574296895,100.0,3.670510946436779,2.7172801989618445,54.93154538202242,20.983911204976504,17.69675226760245,100.0,5352.0,6162.0,47759.0,5629.0,7139.0,35356.0,104640.0,129378.0,714744.0,44092.0,63055.0,273033.0,27331.0,41100.0,230262.0,187044.0,246834.0,1301154.0
9,Bayern,2.715531461266132,2.790867148224195,56.56035964173696,25.54076743922675,12.392474309545968,100.0,3.054236570475569,2.601437033644561,54.74899437889125,25.96425130374294,13.631080713245684,100.0,3.758844579569054,2.4089812357075533,56.88347865354978,20.51790182286949,16.430793708304126,100.0,5515.0,7069.0,143168.0,5668.0,6021.0,91754.0,114869.0,126716.0,2166595.0,51871.0,60094.0,781492.0,25168.0,31549.0,625821.0,203091.0,231449.0,3808830.0
10,Saarland,1.2486044339128255,3.189865342113058,59.09453393788876,26.361958577320056,10.105037708765293,100.0,0.7060251741102805,3.0732860520094563,56.77592486103124,27.13724362660533,12.30752028624369,100.0,1.243592600846891,2.5986182304435035,69.13750835747715,18.04620756258822,8.974073248644231,100.0,548.0,442.0,837.0,1400.0,1924.0,1749.0,25936.0,35544.0,46533.0,11570.0,16989.0,12146.0,4435.0,7705.0,6040.0,43889.0,62604.0,67305.0
11,Berlin,2.5012457781961133,3.924201317756492,42.46581030950667,24.66363988704944,26.44510270749128,100.0,3.5009582422328394,4.075903581936459,42.583744972602375,21.79798634167409,28.04140686155424,100.0,4.685533749230234,2.8006104581113282,39.056824368345424,20.149580086927806,33.3074513373852,100.0,1807.0,2594.0,5250.0,2835.0,3020.0,3138.0,30679.0,31552.0,43762.0,17818.0,16151.0,22577.0,19105.0,20777.0,37320.0,72244.0,74094.0,112047.0
12,Brandenburg,3.9177996015797016,1.9839466908980765,54.88414357110404,26.720954344761704,12.493155791656472,100.0,3.3047056511738124,2.470148994948736,53.034804017893265,23.284361887808767,17.90597944817542,100.0,3.005320775487738,2.1849835891790512,58.39642835300594,20.267465802295476,16.145801480031803,100.0,3363.0,2859.0,7371.0,1703.0,2137.0,5359.0,47112.0,45882.0,143226.0,22937.0,20144.0,49709.0,10724.0,15491.0,39600.0,85839.0,86513.0,245265.0
13,Mecklenburg-Vorpommern,2.0755201643976364,2.3084168165082626,57.083654422467674,31.348574364243515,7.1838342323829085,100.0,3.2236259756980767,2.953246962259596,60.698479118049406,24.15707733161664,8.967570612376278,100.0,3.02719720459961,2.7737775529002713,64.03430246889556,20.179729022604516,9.984993751000056,100.0,1212.0,2003.0,7000.0,1348.0,1835.0,6414.0,33334.0,37715.0,148071.0,18306.0,15010.0,46663.0,4195.0,5572.0,23089.0,58395.0,62135.0,231237.0
14,Sachsen,2.591916273745605,2.882632434838698,56.133656755062546,29.518592206989908,8.87320232936324,100.0,2.397666292275053,3.123050043679022,54.8226319730438,29.286783976038937,10.369867714963185,100.0,2.5189977180583556,2.7787624343664845,60.920641602233204,22.328134346544964,11.453463898796997,100.0,2853.0,3074.0,4548.0,3173.0,4004.0,5017.0,61788.0,70287.0,109991.0,32492.0,37548.0,40313.0,9767.0,13295.0,20679.0,110073.0,128208.0,180548.0
15,Sachsen-Anhalt,2.0844938286082852,2.7236213316133573,61.52041983054326,25.68530299920842,7.986162010026679,100.0,2.7706928026722943,3.226432927223999,53.26721648950632,23.81371622408949,16.921941556507893,100.0,2.9864300087714772,2.125793302719158,62.744956400598525,22.063876992931224,10.07894329497962,100.0,1422.0,2140.0,2894.0,1858.0,2492.0,2060.0,41968.0,41142.0,60803.0,17522.0,18393.0,21381.0,5448.0,13070.0,9767.0,68218.0,77237.0,96905.0
16,Thüringen,1.5119060865694893,3.1323022143095582,60.12295537999333,24.37409591632358,10.85874040280405,100.0,0.7941829279570887,3.561685008785721,59.27933968371405,27.727041524091373,8.637750855451772,100.0,2.21113981854233,3.5222015261671578,63.18211860842396,20.746860541969596,10.337679504896952,100.0,1087.0,687.0,3680.0,2252.0,3081.0,5862.0,43226.0,51279.0,105154.0,17524.0,23985.0,34529.0,7807.0,7472.0,17205.0,71896.0,86504.0,166430.0
