,index,landkreis_id,landkreis,biomasse,geoSolarthermieGrubenKlaerschlammDruckentspannung,kernkraft,solar,verbrennung,wasser,wind,renewable_total,not_renewable_total,percRenewableinRegion
0,0,7131,Ahrweiler,2909.0,0.0,0.0,58852.747,6348.62,60.0,15690.0,77511.747,6348.62,92.42953468114443
1,1,9771,Aichach-Friedberg,48984.6,0.0,0.0,261294.576,2762.6,28680.6,21612.0,360571.77599999995,2762.6,99.2396535581318
2,2,8425,Alb-Donau-Kreis,58418.65,110.0,0.0,355201.385,24586.285,8495.5,32691.0,454916.53500000003,24586.285,94.87254631787151
3,3,16077,Altenburger Land,17115.0,0.0,0.0,153066.829,8865.754,261.0,116525.0,286967.829,8865.754,97.00312793764189
4,4,7132,Altenkirchen (Westerwald),1292.0,140.0,0.0,66616.515,1905.83,1633.0,19300.0,88981.515,1905.83,97.9030854075449
5,5,15081,Altmarkkreis Salzwedel,46908.0,0.0,0.0,283676.559,31715.6,15.0,409831.4,740430.959,31715.6,95.89254143137353
6,6,9171,Altötting,25199.5,6841.0,0.0,252422.714,353825.69,226648.8,1.0,511113.01399999997,353825.69,59.09239714170543
7,7,7331,Alzey-Worms,1256.0,0.0,0.0,107247.407,6095.8,7.0,396610.0,505120.407,6095.8,98.80758866473104
8,8,9361,Amberg,2882.0,0.0,0.0,37043.906,7894.65,74.1,0.0,40000.006,7894.65,83.51663701269719
9,9,9371,Amberg-Sulzbach,23814.56,0.0,0.0,255162.775,15382.43,1593.0,66049.9,346620.235,15382.43,95.75074122727798
10,10,3451,Ammerland,23893.0,100.0,0.0,89811.757,13796.94,0.0,84345.0,198149.75699999998,13796.94,93.490372723289
11,11,15082,Anhalt-Bitterfeld,19567.0,0.0,0.0,490786.428,202579.63,4354.0,467135.35,981842.7779999999,202579.63,82.89633591599528
12,12,9561,Ansbach,6099.0,0.0,0.0,46572.781,3808.81,0.0,8430.0,61101.781,3808.81,94.13222104232575
13,13,9661,Aschaffenburg,3868.0,0.0,0.0,19178.212,52979.655,0.0,0.0,23046.212,52979.655,30.31364574901855
14,14,9761,Augsburg,4295.0,0.0,0.0,57580.027,100288.1,23583.1,0.0,85458.12700000001,100288.1,46.00800155149315
15,15,3452,Aurich,37356.0,1.1,0.0,126315.96,11079.55,0.0,1030390.1,1194063.1600000001,11079.55,99.08064415043427
16,16,7332,Bad Dürkheim,1319.0,5940.0,0.0,83773.314,49183.706,222.0,27010.0,118264.314,49183.706,70.6274783064022
17,17,9672,Bad Kissingen,4509.8,203.96,0.0,208488.589,7865.04,1557.0,118842.0,333601.34900000005,7865.04,97.69668692048049
18,18,7133,Bad Kreuznach,195.0,50.0,0.0,127984.97499999999,19433.32,3511.0,138480.0,270220.975,19433.32,93.29085729593618
19,19,9173,Bad Tölz-Wolfratshausen,6464.0,0.0,0.0,75911.491,4682.3,26979.0,9.9,109364.39099999999,4682.3,95.89440082921827
20,20,8211,Baden-Baden,2295.0,430.0,0.0,28324.397,11553.95,82.31,0.0,31131.707000000002,11553.95,72.93247706132296
21,21,9461,Bamberg,1914.0,0.0,0.0,19704.697,23564.844,1859.51,6000.0,29478.207,23564.844,55.57411657938002
22,22,12060,Barnim,28800.0,1878.0,0.0,464162.796,171869.67,456.84000000000003,345294.6,840592.236,171869.67,83.02457909957157
23,23,14625,Bautzen,16957.0,320.0,0.0,363692.014,93445.81,1772.5,139940.7,522682.21400000004,93445.81,84.8333777461809
24,24,9462,Bayreuth,877.0,20.5,0.0,24486.248,17075.7,169.0,0.0,25552.748,17075.7,59.94294701979297
25,25,9172,Berchtesgadener Land,4811.0,0.0,0.0,69988.467,13318.16,29392.57,0.0,104192.03700000001,13318.16,88.66637931004404
26,26,6431,Bergstraße,5537.0,50.0,0.0,136579.893,23445.19,9544.0,48750.0,200460.893,23445.19,89.52900712393776
27,27,11000,Berlin,39825.0,124.18,0.0,166729.989,2477567.928,0.0,20775.2,227454.369,2477567.928,8.408594977285691
28,28,7231,Bernkastel-Wittlich,8673.0,0.0,0.0,199752.236,5191.515,52396.1,208854.0,469675.336,5191.515,98.90674301879201
29,29,8426,Biberach,78366.3,150.0,0.0,378077.79,38078.81,41261.93,3747.5,501603.51999999996,38078.81,92.94421775862108
30,30,5711,Bielefeld,55761.0,0.0,0.0,72298.532,145888.2,11.0,15300.0,143370.532,145888.2,49.564806914800414
31,31,7134,Birkenfeld,9649.3,0.0,0.0,49550.889,2228.645,329.4,153270.6,212800.189,2228.645,98.96355992889772
32,32,5911,Bochum,6844.0,1370.5,0.0,44242.019,70080.86,1870.0,1500.0,55826.519,70080.86,44.33935440749664
33,33,8435,Bodenseekreis,6381.2,178.0,0.0,153852.009,80304.97,550.88,0.0,160962.089,80304.97,66.7153193921927
34,34,5314,Bonn,246.0,0.0,0.0,27585.466,147938.668,0.0,0.0,27831.466,147938.668,15.834013075281606
35,35,5512,Bottrop,6525.0,4500.0,0.0,37390.84,15124.54,0.0,16120.0,64535.84,15124.54,81.01372350972967
36,36,12051,Brandenburg an der Havel,1937.0,0.0,0.0,111933.245,228973.72,95.0,0.0,113965.245,228973.72,33.23193239356747
37,37,3101,Braunschweig,5177.0,65.0,0.0,43025.883,196044.615,360.0,7100.0,55727.883,196044.615,22.134221744902415
38,38,8315,Breisgau-Hochschwarzwald,8876.1,0.6,0.0,201775.427,38934.852,5740.5,17891.8,234284.427,38934.852,85.74959565719372
39,39,4011,Bremen,4221.7,0.0,0.0,47666.547,1475649.6199999999,10000.0,134159.0,196047.247,1475649.6199999999,11.72743999645242
40,40,4012,Bremerhaven,8338.0,0.0,0.0,11976.517,27759.141,0.0,67140.0,87454.51699999999,27759.141,75.90637995366833
41,41,15084,Burgenlandkreis,24305.85,0.0,0.0,237580.79200000002,135707.84,4520.5,504524.0,770931.142,135707.84,85.0317664810049
42,42,8115,Böblingen,5735.6,1415.0,0.0,170704.995,205809.305,222.7,0.0,178078.295,205809.305,46.388134183026494
43,43,15083,Börde,35910.0,0.0,0.0,282165.395,130177.631,220.0,716885.0,1035180.395,130177.631,88.82938735601928
44,44,8235,Calw,5108.3,65.0,0.0,109056.523,12196.32,5040.0,61110.0,180379.82299999997,12196.32,93.66675445358774
45,45,3351,Celle,66801.58,0.0,0.0,83000.641,21430.829999999998,989.0,166300.0,317091.221,21430.829999999998,93.66929571155174
46,46,9372,Cham,47773.5,29.9,0.0,243717.592,5296.54,6377.15,796.1,298694.242,5296.54,98.25766427351735
47,47,14511,Chemnitz,2109.0,0.0,0.0,102375.439,174724.555,498.1,13400.9,118383.439,174724.555,40.38901750322101
48,48,3453,Cloppenburg,124081.0,0.0,0.0,335442.326,40481.06,28.369999999999997,494896.3,954447.996,40481.06,95.93126165570543
49,49,9463,Coburg,0.0,700.0,0.0,34456.367999999995,22445.12,252.5,0.0,35408.867999999995,22445.12,61.203849940301424
50,50,7135,Cochem-Zell,9375.0,0.0,0.0,88045.451,931.265,49200.0,140290.0,286910.451,931.265,99.6764662839906
51,51,5558,Coesfeld,29510.7,0.0,0.0,288352.099,6279.615,245.0,266230.0,584337.7989999999,6279.615,98.93677110577033
52,52,12052,Cottbus,635.0,0.0,0.0,119496.88100000001,84298.97,280.0,64000.0,184411.881,84298.97,68.62837146833344
53,53,3352,Cuxhaven,52420.0,0.0,0.0,138357.852,7300.63,0.0,783928.9,974706.7520000001,7300.63,99.25656057848249
54,54,9174,Dachau,20860.0,0.0,0.0,178033.205,3418.01,6150.6,20528.0,225571.805,3418.01,98.50735282702419
55,55,12061,Dahme-Spreewald,39848.2,4.68,0.0,299069.651,37589.67,266.5,626850.0,966039.0310000001,37589.67,96.25462385018022
56,56,6411,Darmstadt,1937.1,0.0,0.0,17815.216,154857.04,0.0,0.0,19752.316,154857.04,11.312289588880907
57,57,6432,Darmstadt-Dieburg,5427.0,0.0,0.0,112004.362,10907.258,0.0,23560.0,140991.362,10907.258,92.81938308590296
58,58,9271,Deggendorf,6920.0,0.0,0.0,389467.76,155364.63999999998,27160.2,6.5,423554.46,155364.63999999998,73.16297907600561
59,59,3401,Delmenhorst,252.0,0.0,0.0,10502.504,5343.0,0.0,17850.0,28604.504,5343.0,84.26099309097953
60,60,15001,Dessau-Roßlau,2395.0,0.0,0.0,76167.329,46139.549999999996,400.0,17200.0,96162.329,46139.549999999996,67.57628899615584
61,61,3251,Diepholz,115829.5,65.0,0.0,269629.797,9671.61,57.5,780886.0,1166467.797,9671.61,99.17768166405804
62,62,9773,Dillingen a.d. Donau,52778.3,231.18,0.0,230478.207,9497.41,44637.2,24803.6,352928.48699999996,9497.41,97.37948913733392
63,63,9279,Dingolfing-Landau,38958.0,80.0,0.0,409159.301,35949.55,68360.2,1520.0,518077.501,35949.55,93.51122838946
64,64,1051,Dithmarschen,47552.0,190.0,0.0,315400.641,89932.22200000001,0.0,1868263.14,2231405.781,89932.22200000001,96.12584544414577
65,65,9779,Donau-Ries,95301.4,9.0,0.0,344747.87,37647.76,41897.1,16147.7,498103.06999999995,37647.76,92.97289749415786
66,66,7333,Donnersbergkreis,2966.0,0.0,0.0,80588.866,1940.605,30.0,291145.0,374729.866,1940.605,99.48480033625997
67,67,5913,Dortmund,5537.5599999999995,7005.45,0.0,71181.563,92952.515,2100.0,13800.0,99624.57299999999,92952.515,51.73230836266461
68,68,14612,Dresden,15350.0,582.0,0.0,46947.123,494551.52,444.0,600.0,63923.123,494551.52,11.446020656662114
69,69,5112,Duisburg,9413.8,62153.0,0.0,42933.604,2537020.58,700.0,2300.0,117500.404,2537020.58,4.426425886562138
70,70,5358,Düren,13662.0,0.0,0.0,133735.551,57698.325,32024.5,411820.5,591242.551,57698.325,91.10884717947711
71,71,5111,Düsseldorf,109611.4,0.0,0.0,40394.473,1166214.6500000001,0.0,0.0,150005.873,1166214.6500000001,11.39671281360198
72,72,9175,Ebersberg,15246.0,50.0,0.0,109651.554,5279.778,533.7,2313.9,127795.154,5279.778,96.03247740152894
73,73,16061,Eichsfeld,25660.0,0.0,0.0,114796.071,5571.05,79.05,84000.0,224535.12099999998,5571.05,97.5789219490337
74,74,9176,Eichstätt,10571.2,0.0,0.0,279422.30700000003,872573.89,907.2,110303.47,401204.1770000001,872573.89,31.497180505306975
75,75,7232,Eifelkreis Bitburg-Prüm,27261.6,675.0,0.0,249424.353,20543.89,1671.5,451768.1,730800.553,20543.89,97.26571611843278
76,76,16056,Eisenach,170.0,0.0,0.0,26676.116,27909.91,50.0,66200.0,93096.11600000001,27909.91,76.93510734746384
77,77,12062,Elbe-Elster,29203.0,0.0,0.0,415949.63899999997,1723.28,0.0,632221.0,1077373.639,1723.28,99.84030350104261
78,78,3402,Emden,22075.0,0.0,0.0,16886.578,56536.95,0.0,186660.0,225621.578,56536.95,79.96270025905437
79,79,8316,Emmendingen,6387.5,119.0,0.0,143659.828,8569.882,3859.6,32668.5,186694.428,8569.882,95.61113753967633
80,80,3454,Emsland,171611.3,50.0,1406000.0,613508.6,2842350.048,150.0,1194218.7,1979538.5999999999,4248350.048,31.785067329932133
81,81,5954,Ennepe-Ruhr-Kreis,4045.0,0.0,0.0,57014.971,450687.28,10781.0,5562.5,77403.47099999999,450687.28,14.65722905645056
82,82,8236,Enzkreis,3027.62,220.0,0.0,124057.60800000001,9526.28,5551.3,4.0,132860.52800000002,9526.28,93.30957682540367
83,83,9177,Erding,55396.6,0.0,0.0,165749.567,95149.32999999999,82442.18,96.48,303684.827,95149.32999999999,76.14313409972054
84,84,16051,Erfurt,2096.5,808.0,0.0,62350.034,140784.87,1033.77,35500.0,101788.304,140784.87,41.96189641316232
85,85,9562,Erlangen,464.5,0.0,0.0,31132.365,60352.72,1053.0,0.0,32649.865,60352.72,35.10640591334101
86,86,9572,Erlangen-Höchstadt,10196.5,120.0,0.0,131132.065,17960.92,1685.97,35651.5,178786.035,17960.92,90.87105566640155
87,87,14521,Erzgebirgskreis,12500.0,340.0,0.0,149821.698,32192.146,28278.7,75603.6,266543.998,32192.146,89.22388648090738
88,88,5113,Essen,6524.0,0.0,0.0,44456.638,73482.54000000001,16632.0,0.0,67612.638,73482.54000000001,47.91987859429186
89,89,8116,Esslingen,4025.3,264.0,0.0,172241.511,1121020.2,16166.76,2251.5,194949.071,1121020.2,14.814105108385926
90,90,5366,Euskirchen,17882.0,2727.18,0.0,160962.201,62243.17,1617.9,223074.0,406263.281,62243.17,86.71455433171826
91,91,1001,Flensburg,0.0,0.0,0.0,19221.816,191602.0,3.5,39710.0,58935.316,191602.0,23.523568042055658
92,92,9474,Forchheim,13309.0,0.0,0.0,102983.539,8189.71,9303.0,1504.6,127100.13900000001,8189.71,93.94654509519039
93,93,7311,Frankenthal (Pfalz),0.0,0.0,0.0,18295.705,1097.2,0.0,0.0,18295.705,1097.2,94.34226073917239
94,94,12053,Frankfurt (Oder),2211.9,0.0,0.0,36485.719,74753.05500000001,0.0,21600.0,60297.619,74753.05500000001,44.64814370345164
95,95,6412,Frankfurt am Main,20898.0,5105.5,0.0,50011.582,1197640.63,10430.0,0.0,86445.082,1197640.63,6.732033632346811
96,96,8311,Freiburg im Breisgau,7545.0,5.5,0.0,56305.134,110534.51699999999,812.1,9000.0,73667.734,110534.51699999999,39.99285220461285
97,97,9178,Freising,49702.1,0.0,0.0,239742.709,601077.08,72990.6,5330.0,367765.409,601077.08,37.95925686326914
98,98,8237,Freudenstadt,16515.0,0.0,0.0,112441.779,15025.04,4940.6,20900.0,154797.37900000002,15025.04,91.15249912910497
99,99,9272,Freyung-Grafenau,6575.01,83.6,0.0,144315.968,4447.3,29866.45,234.75,181075.77800000002,4447.3,97.60283192369201
100,100,3455,Friesland,18143.0,0.0,0.0,70148.115,71152.727,0.0,331895.4,420186.515,71152.727,85.51861505904306
101,101,6631,Fulda,12555.5,145.0,0.0,214633.905,101642.13,1725.62,56192.0,285252.025,101642.13,73.72869848602392
102,102,9179,Fürstenfeldbruck,10573.5,0.0,0.0,128460.669,17996.845,3725.0,6106.0,148865.169,17996.845,89.21453447157842
103,103,9563,Fürth,6690.9,0.0,0.0,31915.022,6500.2,1395.0,0.0,40000.922,6500.2,86.02141255860451
104,104,9180,Garmisch-Partenkirchen,8521.0,55.0,0.0,42839.876,10645.4,7574.1,0.0,58989.975999999995,10645.4,84.71265524580495
105,105,5513,Gelsenkirchen,2361.0,24135.0,0.0,27083.624,824783.51,0.0,4600.0,58179.623999999996,824783.51,6.589133992088055
106,106,16052,Gera,2921.0,0.0,0.0,31148.534,43892.212,400.0,10650.0,45119.534,43892.212,50.68941575418597
107,107,7334,Germersheim,4134.0,100.0,0.0,81168.939,86293.155,349.0,75200.0,160951.939,86293.155,65.09813254373411
108,108,6531,Gießen,1000.1,0.0,0.0,122838.613,69947.95,546.5,43420.0,167805.21300000002,69947.95,70.57959224710714
109,109,3151,Gifhorn,47108.4,0.0,0.0,81743.645,8535.78,615.9,173100.0,302567.945,8535.78,97.25629128998695
110,110,3153,Goslar,14305.0,95.0,0.0,71532.752,20107.258,10041.4,24381.5,120355.65199999999,20107.258,85.6850053868313
111,111,16067,Gotha,8025.0,0.0,0.0,121365.895,27881.18,1984.0,171241.75,302616.645,27881.18,91.56388396807151
112,112,3456,Grafschaft Bentheim,81322.4,0.0,0.0,190657.5,19072.539999999997,0.0,194619.8,466599.69999999995,19072.539999999997,96.07296064522856
113,113,16076,Greiz,16242.5,1.1,0.0,148064.158,11180.5,1566.2,49102.0,214975.958,11180.5,95.05629859130532
114,114,6433,Groß-Gerau,2515.0,65.0,0.0,116732.554,264546.81,5400.0,0.0,124712.554,264546.81,32.03842104617938
115,115,8117,Göppingen,12375.0,928.0,0.0,141104.186,46543.759,6610.68,108970.0,269987.866,46543.759,85.29570023216479
116,116,14626,Görlitz,41850.2,591.0,0.0,250785.066,2664363.6,4145.0,198492.6,495863.866,2664363.6,15.690765026722286
117,117,3159,Göttingen,26547.0,30.0,0.0,180269.737,86235.65,17332.2,113700.0,337878.93700000003,86235.65,79.66689837055758
118,118,9774,Günzburg,25774.4,98.0,0.0,253590.487,13633.87,35616.3,7213.8,322292.987,13633.87,95.94141709247141
119,119,5754,Gütersloh,57450.46,200.0,0.0,251763.675,79663.533,121.7,85976.0,395511.835,79663.533,83.23491949187063
120,120,5914,Hagen,21349.0,0.0,0.0,19545.136,19470.75,5119.0,19000.0,65013.136,19470.75,76.95329734240681
121,121,15002,Halle (Saale),1316.0,1914.0,0.0,70853.535,279842.29,2250.0,63602.7,139936.235,279842.29,33.335729835155334
122,122,2000,Hamburg,45973.7,5200.0,0.0,83557.864,603128.889,120.0,118699.8,253551.364,603128.889,29.596966092318695
123,123,3252,Hameln-Pyrmont,53503.0,0.0,0.0,63424.829,62450.77,3911.2,157704.6,278543.629,62450.77,81.68569038578255
124,124,5915,Hamm,3619.0,10840.0,0.0,55240.227,886215.3099999999,1403.0,32858.5,103960.727,886215.3099999999,10.49921661556025
125,125,3353,Harburg,27677.0,306.0,0.0,72469.677,10000.398,295.0,207104.5,307852.177,10000.398,96.85376215687414
126,126,15085,Harz,29520.0,0.0,0.0,283383.674,17279.47,8790.5,246680.0,568374.174,17279.47,97.04954111068419
127,127,12063,Havelland,20196.0,0.0,0.0,243032.108,42265.762,0.0,319400.0,582628.108,42265.762,93.23632955464902
128,128,9674,Haßberge,16516.3,0.0,0.0,252008.474,67926.97,13412.56,37151.98,319089.31399999995,67926.97,82.44854989099115
129,129,3358,Heidekreis,69390.0,0.0,0.0,87665.492,25785.205,1457.5,357775.0,516287.99199999997,25785.205,95.24322450497401
130,130,8221,Heidelberg,6992.0,794.0,0.0,27427.917,19484.77,6460.0,0.0,41673.917,19484.77,68.14063388901727
131,131,8135,Heidenheim,30544.0,0.0,0.0,155177.67799999999,194631.33000000002,2832.0,139622.043,328175.721,194631.33000000002,62.77186208033755
132,132,8121,Heilbronn,3884.0,2310.0,0.0,40826.507,1116200.03,6615.0,0.0,53635.507,1116200.03,4.584875848236434
133,133,5370,Heinsberg,17670.4,15.0,0.0,162180.66,9649.89,0.0,237990.0,417856.06000000006,9649.89,97.74274720620846
